Generation,Grand Mean #Beneficial,Standard Error Beneficial,Grand Mean #Detrimental,Standard Error Detrimental,Grand Mean #Fitness,Standard Error Fitness,,S1 Beneficial,S1 Detrimental,S1 Fitness,,S2 Beneficial ,S2 Detrimental,S2 Fitness,,S3 Beneficial ,S3 Detrimental,S3 Fitness,,S4 Beneficial ,S4 Detrimental,S4 Fitness,,S5 Beneficial ,S5 Detrimental,S5 Fitness,,S6 Beneficial ,S6 Detrimental,S6 Fitness,,S7 Beneficial ,S7 Detrimental,S7 Fitness,,S8 Beneficial ,S8 Detrimental,S8 Fitness,,S9 Beneficial ,S9 Detrimental,S9 Fitness,,S10 Beneficial ,S10 Detrimental,S10 Fitness,,S11 Beneficial ,S11 Detrimental,S11 Fitness,,S12 Beneficial ,S12 Detrimental,S12 Fitness,,S13 Beneficial ,S13 Detrimental,S13 Fitness,,S14 Beneficial ,S14 Detrimental,S14 Fitness,,S15 Beneficial ,S15 Detrimental,S15 Fitness,,S16 Beneficial ,S16 Detrimental,S16  Fitness,,S17 Beneficial ,S17 Detrimental,S17 Fitness,,S18 Beneficial ,S18 Detrimental,S18 Fitness,,S19 Beneficial ,S19 Detrimental,S19 Fitness,,S20 Beneficial ,S20 Detrimental,S20 Fitness,,S21 Beneficial ,S21 Detrimental,S21 Fitness,,S22 Beneficial ,S22 Detrimental,S22 Fitness,,S23 Beneficial ,S23 Detrimental,S23 Fitness,,S24 Beneficial ,S24 Detrimental,S24 Fitness,,S25 Beneficial ,S25 Detrimental,S25 Fitness,,S26 Beneficial ,S26 Detrimental,S26  Fitness,,S27 Beneficial ,S27 Detrimental,S27 Fitness,,S28 Beneficial ,S28 Detrimental,S28 Fitness,,S29 Beneficial ,S29 Detrimental,S29 Fitness,,S30 Beneficial ,S30 Detrimental,S30 Fitness
1,260.8336667,,260.8256667,,,,,260.74,261,0.999078267,,260.83,260.66,1.000732715,,260.75,260.83,0.999757319,,260.88,261.1,0.99923819,,260.86,260.74,1.000529623,,260.92,260.51,1.001653298,,260.65,260.74,0.99974045,,260.76,260.83,0.999808103,,260.75,260.98,0.999198623,,260.85,260.73,1.000553487,,260.79,260.47,1.001316693,,261.06,260.58,1.001922003,,260.86,260.94,0.99977583,,260.64,260.68,0.999933319,,261.23,260.97,1.001079282,,260.4,260.75,0.998734271,,260.68,260.84,0.999469999,,261.33,260.68,1.002596464,,260.83,260.94,0.99967273,,261.03,260.77,1.001070553,,260.75,260.79,0.999942014,,260.89,261.05,0.999436249,,260.95,261.09,0.999535226,,260.73,260.88,0.999511171,,260.69,260.93,0.99916738,,260.53,260.93,0.998527254,,260.97,260.88,1.000431734,,260.8,260.86,0.999850583,,260.83,261.03,0.999281104,,261.03,260.59,1.001755804
2,262.0066667,,261.3243333,,,,,262.36,261.61,1.00298827,,261.94,261.42,1.002157881,,261.52,261.32,1.000898475,,262.14,261.55,1.002371605,,262.15,261.53,1.002485711,,261.91,260.99,1.003635541,,261.72,261.09,1.002543563,,262.12,261.08,1.004094294,,261.97,261.63,1.001445964,,262.5,261.12,1.005424927,,262.18,260.32,1.007286633,,262.38,260.67,1.006704967,,261.68,261.55,1.000657614,,261.54,261.04,1.002042656,,262.73,261.71,1.004032942,,261.19,261.55,0.998739939,,261.7,261.17,1.002190679,,262.47,261.13,1.005305991,,261.86,261.59,1.00116703,,262.15,261.28,1.003473454,,261.78,261.25,1.002184467,,261.85,261.59,1.001121559,,262.3,261.88,1.001714343,,262.14,261.29,1.003409132,,261.64,261.5,1.000729263,,261.78,261.77,1.000172438,,262.08,261.14,1.0037277,,262.5,261.19,1.00513848,,261.68,261.58,1.000504161,,262.24,261.19,1.004150338
3,263.2606667,,261.7233333,,,,,263.6,262.1,1.005844359,,262.96,261.96,1.004078136,,262.56,261.89,1.002736057,,263.36,261.94,1.005596568,,263.14,262.03,1.004360699,,263.43,261.14,1.008917126,,262.88,261.83,1.004180639,,263.65,261.39,1.008810058,,263.49,261.61,1.007356882,,263.82,261.58,1.008735623,,263.3,260.67,1.010318331,,263.82,261.09,1.010630265,,263.26,262.02,1.004913362,,262.74,261.28,1.005729773,,263.37,262.39,1.003950741,,262.51,262.05,1.001909791,,263.05,261.9,1.004596962,,263.61,261.68,1.007600656,,263.33,262.07,1.004966163,,263.3,261.19,1.008309121,,262.95,261.18,1.007023715,,263.49,261.65,1.00718802,,263.71,262.33,1.005422635,,263.41,261.82,1.006266313,,262.54,262.08,1.002002644,,262.94,262.39,1.002250677,,263.78,261.22,1.010009437,,263.31,261.77,1.006058771,,262.86,261.78,1.004278203,,263.65,261.67,1.007775179
4,264.5893333,,261.993,,,,,264.83,262.18,1.010245152,,264.44,262.54,1.007481799,,264.11,261.6,1.009796804,,264.31,262.32,1.007853238,,264.84,262.15,1.010436367,,265.57,261.28,1.016633339,,263.76,262.6,1.004635256,,264.63,262.03,1.010150588,,264.49,261.87,1.010157223,,265.19,262.25,1.011424649,,264.53,260.82,1.014443832,,265.26,261.36,1.015157795,,264.68,262.15,1.00985978,,264,261.57,1.00943817,,264.71,262.63,1.008137426,,263.61,262.79,1.00330392,,264.05,261.71,1.009206661,,264.7,262.06,1.010314686,,264.76,262.84,1.00748266,,264.24,261.58,1.010478673,,264.43,261.29,1.012304386,,265.21,261.45,1.014591367,,264.92,262.75,1.008456702,,264.51,261.91,1.010133604,,264.18,262.35,1.007223953,,264.4,262.5,1.007471607,,264.87,261.55,1.012942848,,265.05,262.01,1.011786672,,264.29,261.82,1.009697729,,265.11,261.83,1.012751255
5,265.8193333,,262.334,,,,,265.45,263,1.009486256,,265.45,262.86,1.010160154,,265.35,262.01,1.01299052,,264.95,262.81,1.008435199,,266.04,262.13,1.015149486,,266.8,261.4,1.020989016,,265.09,262.9,1.008588476,,266.05,262.2,1.014943739,,265.46,262.7,1.010738698,,266.31,262.36,1.01529985,,266.15,260.9,1.02040789,,266.73,261.68,1.019534054,,265.97,262.81,1.012243248,,265.14,262.34,1.010848989,,266.37,262.75,1.014028309,,265.1,263.45,1.006487357,,265.67,261.51,1.016241966,,266.41,262.52,1.015090898,,265.82,263.33,1.009708868,,265.78,261.68,1.015971856,,265.8,261,1.018664031,,266.33,262.23,1.01584121,,266.58,263.02,1.013752404,,265.37,262.26,1.012118773,,265.22,262.4,1.011049933,,265.59,262.46,1.012160608,,265.96,262.13,1.014894686,,265.84,262.88,1.011511408,,265.2,262.31,1.011355337,,266.6,261.99,1.017913353
6,267.0326667,,262.7146667,,,,,266.77,263.17,1.013945138,,266.37,263.62,1.010741395,,266.35,262.61,1.014536685,,266.11,262.99,1.012137116,,266.66,262.73,1.015204448,,268.17,261.29,1.026607158,,266.17,263.44,1.010684,,266.96,262.38,1.01772034,,266.25,263.34,1.011275168,,267.53,262.49,1.019480816,,267.84,261.08,1.02618656,,268.24,261.84,1.024670171,,267.23,263.31,1.015123553,,267,262.68,1.01664701,,267.68,262.95,1.018245927,,266.25,264.21,1.008011349,,266.7,261.78,1.019101224,,268.12,262.8,1.020583343,,266.73,264.16,1.009983749,,267.13,261.78,1.020707631,,267.01,261.54,1.021225272,,267.77,262.99,1.018406616,,267.49,262.92,1.017632453,,266.44,262.56,1.015037804,,266.72,262.56,1.016154673,,266.83,262.72,1.015878234,,267.2,262.88,1.016858465,,267.2,262.97,1.016299185,,266.37,263.14,1.01260351,,267.69,262.51,1.02008129
7,268.3716667,,263.011,,,,,267.89,263.19,1.018140207,,266.95,264.12,1.011089465,,267.43,263.28,1.016107048,,267.07,263.25,1.014800129,,268.08,263.33,1.018383095,,269.04,261.58,1.028773904,,267.11,263.52,1.013890331,,268.46,262.93,1.021306911,,267.3,263.87,1.013238976,,269.45,262.76,1.025831511,,269.19,261.41,1.030105663,,269.46,262.23,1.027743614,,268.98,263.63,1.020475317,,268.72,263.08,1.021655535,,269.14,263.05,1.023465869,,267.26,264.49,1.010740307,,268.16,262.06,1.023636261,,269.97,262.72,1.027996105,,268.09,264.35,1.014421192,,268.15,262.32,1.022548005,,268.67,261.69,1.027021789,,269.24,263.19,1.023241658,,269.16,263,1.023703211,,267.72,262.99,1.018274623,,268.32,262.77,1.021431811,,268.25,262.95,1.020436124,,268.39,263.23,1.020014209,,268.68,263.05,1.021649137,,267.93,263.38,1.017654768,,268.89,262.91,1.023051125
8,269.6793333,,263.305,,,,,269.35,262.99,1.024472845,,268.22,264.37,1.015021168,,268.74,263.71,1.019435388,,268.36,263.44,1.019015804,,269.42,263.52,1.022711978,,270.35,262.43,1.030453722,,268.4,264.09,1.016597331,,269.62,262.95,1.025732834,,268.68,264.24,1.017157041,,270.97,262.65,1.032034511,,270.37,262,1.032328401,,271.31,262.38,1.034223875,,269.97,263.71,1.023961656,,270.13,263.59,1.025105376,,271.02,263.06,1.030532934,,268.4,265.11,1.01270033,,269.21,262.81,1.024823267,,271.21,262.76,1.032498437,,269.13,264.94,1.016184465,,269.2,262.75,1.02495638,,270.16,262.21,1.030636435,,270.39,263.35,1.027069078,,270.05,263.42,1.025448763,,268.88,263.45,1.020927886,,270.22,262.55,1.029497249,,269.21,262.64,1.025263087,,269.86,263.29,1.02530579,,270.05,263.66,1.024461642,,269.78,263.45,1.024419209,,269.72,263.63,1.02336445
9,271.0583333,,263.4363333,,,,,270.32,263.23,1.027207141,,269.75,264.65,1.019805038,,270.58,263.26,1.028185296,,269.39,264.14,1.020232866,,270.59,263.57,1.026974333,,271.88,262.59,1.035634377,,269.71,264.41,1.020365772,,271.24,263.05,1.031465327,,270.42,263.97,1.02477269,,272.35,263.35,1.034582017,,271.69,261.98,1.037473388,,272.48,262.76,1.037256742,,270.83,263.69,1.027304066,,271.21,263.83,1.028247477,,272.51,263.19,1.035701164,,269.83,265.38,1.017080458,,270.77,262.24,1.032994166,,272.18,263.53,1.033162708,,270.52,264.95,1.021331096,,270.59,263.01,1.029186019,,272.07,262,1.038775241,,271.67,263.44,1.031519959,,271.31,263.43,1.03017677,,270.54,263.82,1.025820655,,271.66,262.67,1.034581994,,270.45,262.6,1.030195097,,271.13,263.56,1.029045319,,272.21,263.55,1.033073504,,271.23,263.65,1.029169591,,270.64,263.59,1.026986869
10,272.332,,263.7486667,,,,,271.44,263.56,1.030120075,,271.71,264.09,1.029484637,,271.71,262.97,1.033723017,,270.52,264.19,1.024301997,,272.13,263.5,1.033086805,,273.22,262.97,1.03932798,,270.83,264.88,1.022770823,,272.27,263.45,1.03387977,,271.49,264.18,1.027978531,,273.42,263.58,1.037746413,,273.12,262.49,1.040933092,,273.54,263.06,1.040144603,,272.12,264.09,1.030611771,,272.26,264.51,1.029620868,,274.37,263.59,1.041233701,,270.98,265.92,1.019351185,,272.32,262.71,1.03701826,,274,263.78,1.039031286,,272.32,264.93,1.02818349,,271.81,263.19,1.033100519,,273.45,262.07,1.043760565,,272.75,263.69,1.03463943,,272.5,263.89,1.03296692,,271.85,264.35,1.028740901,,272.97,263.35,1.036940011,,271.45,263.49,1.030537941,,272.16,263.86,1.031902479,,272.96,263.94,1.034437837,,272.6,263.55,1.034750226,,271.69,264.63,1.027085004
