
Generation,S37 Beneficial,S37 Detrimental,S37 Fitness
1,340.2,339.89,1.000963364100031
2,340.64,339.51,1.0034078795131567
3,340.97,339.35,1.0048584794470807
4,341.61,339.28,1.0069702134556051
5,342.22,338.86,1.0100416458252035
6,342.94,338.1,1.0144823121026065
7,343.37,337.22,1.0184130615594222
8,343.71,337.15,1.0196496298812863
9,343.74,337.39,1.019054877787702
10,344.79,336.31,1.0254679062614445
11,344.95,335.62,1.028082548736532
12,345.71,335.11,1.0319302247932842
13,346.0,334.67,1.0341496242244868
14,347.45,333.76,1.0413375427410292
15,348.49,333.01,1.0467856706477159
16,349.38,332.05,1.0524898900753592
17,349.42,331.25,1.0550769730653426
18,350.09,330.58,1.0592528761042055
19,350.7,329.51,1.064507160023302
20,350.73,328.78,1.0669232431569322
21,351.54,328.77,1.0694558853949256
22,352.38,328.79,1.0719258691674414
23,353.15,328.77,1.0743127420196494
24,353.37,328.47,1.07599314949386
25,353.85,327.46,1.0808265734945217
26,354.62,327.74,1.0822645370397934
27,355.52,327.12,1.0871708873639674
28,355.67,326.41,1.089961188339629
29,355.86,326.24,1.0911054188728613
30,355.82,325.28,1.0942024411458648
31,355.83,324.52,1.0967532062043146
32,356.51,323.87,1.1010822970754108
33,357.0,323.62,1.103405680507973
34,357.92,323.31,1.1072858098726264
35,358.26,323.44,1.1079508483061045
36,358.73,322.78,1.1117171406127972
37,359.53,321.8,1.1176079652101167
38,361.01,321.69,1.1225556977788622
39,361.48,321.39,1.1250603832506265
40,362.31,321.13,1.1285977350331984
41,363.22,320.41,1.1339596263055995
42,364.1,320.25,1.13727975554862
43,363.77,319.54,1.138806119359037
44,364.08,318.9,1.141960963332785
45,364.6,319.12,1.1428431500429186
46,364.64,318.67,1.1446010524053865
47,364.48,318.49,1.1447279320470147
48,365.2,318.32,1.1476172415573913
49,365.65,317.77,1.1510851349898004
50,366.28,317.09,1.155565606126383
51,366.41,316.18,1.1592957724750017
52,367.14,316.08,1.1619806327340938
53,367.55,316.52,1.161641983332277
54,368.05,316.14,1.1646035043585272
55,368.75,315.69,1.1683879384351716
56,369.07,315.58,1.1699064489469213
57,369.47,315.79,1.1704312018468281
58,370.33,315.18,1.1754809719108499
59,371.05,315.36,1.1771285658935016
60,372.17,315.01,1.1819556434315615
61,372.23,314.48,1.1841889349714483
62,372.39,314.21,1.1856585653221485
63,372.88,314.7,1.1853694182947034
64,373.33,313.91,1.1898821112777935
65,373.9,313.63,1.192709952276099
66,373.91,313.1,1.1947785689111112
67,373.84,312.0,1.198751275328668
68,373.82,311.23,1.2015829780002947
69,374.25,310.86,1.2043753725520947
70,375.36,310.68,1.2086842217516103
71,375.74,310.22,1.2117109144331064
72,376.07,310.32,1.2123586756645346
73,376.29,309.8,1.2150278958230196
74,376.27,309.06,1.2178165589055956
75,376.43,308.45,1.2207588272001768
76,377.33,308.66,1.2229398205694468
77,377.16,307.44,1.2272428812520737
78,376.94,306.39,1.2306652442260646
79,376.51,305.65,1.232253421662046
80,377.65,305.15,1.238079795841913
81,378.3,305.01,1.2406744043240827
82,378.44,304.46,1.2433551753852081
83,379.1,304.27,1.2463509595273154
84,379.86,304.18,1.2494411548724176
85,380.49,303.6,1.2539238670565702
86,380.39,303.13,1.25544129468163
87,381.12,302.71,1.2596286988810592
88,381.85,302.05,1.2646667567751
89,382.4,301.38,1.2692348994258194
90,383.36,301.26,1.2730412180227915
91,384.22,300.72,1.2781790124316295
92,384.3,299.98,1.2814799467029832
93,385.18,299.52,1.2863745427704265
94,385.68,299.13,1.2897378085051319
95,386.18,299.15,1.2912590299541054
96,386.53,299.39,1.2913753546487303
97,387.36,299.03,1.2956774748263569
98,387.67,299.52,1.29463518338215
99,387.28,299.86,1.2919365742297908
100,387.89,299.68,1.2948375534856256
101,389.15,299.42,1.3001319853337698
102,389.65,298.76,1.3046454071234264
103,390.06,298.21,1.308438010916885
104,390.54,297.62,1.3127156920826673
105,391.08,296.89,1.3178246040780979
106,391.78,296.39,1.3223178371507467
107,392.31,296.71,1.3226803205316184
108,393.39,297.04,1.3250533371112347
109,393.28,297.2,1.3240788595408628
110,393.51,296.67,1.3270278778448803
111,394.56,296.92,1.329444236188275
112,394.13,296.5,1.3298302796518933
113,394.76,296.38,1.332434156242688
114,395.32,295.95,1.3362126765880769
115,395.98,295.23,1.3417020568282387
116,396.72,295.28,1.343963099163411
117,397.01,295.74,1.342885221033299
118,397.1,295.46,1.3444812045275776
119,397.2,295.41,1.3450959829779021
